"Component","Value","Description","Qty","Mfr","RS Order No.","RS Components","URL"
"7WAYOFFBOARD","","","1","","","RS Components","http://rswww.com/cc"
"22WAYPADS","","","1","","","RS Components","http://rswww.com/cc"
"0805ZC105KATEA","1uF","Capacitor, Surface Mount Multi-Layer Ceramic","5","","","RS Components","http://rswww.com/cc"
"06033G104ZATDA","1nF","Capacitor, Surface Mount Multi-Layer Ceramic","4","","","RS Components","http://rswww.com/cc"
"06033G104ZATDA","100nF","Capacitor, Surface Mount Multi-Layer Ceramic","15","","","RS Components","http://rswww.com/cc"
"65100516121_USBB","","","1","","","RS Components","http://rswww.com/cc"
"BZX84C","","","4","","","RS Components","http://rswww.com/cc"
"C8051F381-GQ","","","1","","","RS Components","http://rswww.com/cc"
"CP2102","CP2102","","1","","","RS Components","http://rswww.com/cc"
"GND","","Power","27","","","RS Components","http://rswww.com/cc"
"LED0603","","LEDsStandard schematic elements and footprints for 5mm, 3mm, 1206, and 0603 sized LEDs. 5mm - Spark Fun Electronics SKU : COM-00529 (and others)","3","","","RS Components","http://rswww.com/cc"
"MC74HC7014_CNV","","","2","","","RS Components","http://rswww.com/cc"
"MC74LVX157D","","MULTIPLEXER/ENCODER/SELECTOR","1","","","RS Components","http://rswww.com/cc"
"MCP4822-X_SN","","","1","","","RS Components","http://rswww.com/cc"
"MMBD1404A","","","1","","","RS Components","http://rswww.com/cc"
"MolexMICROSD104031_0811","","","1","","","RS Components","http://rswww.com/cc"
"R 0.1W SMTF 2.2K","2.2K","Thick Film Surface Mount Resistor","2","","","RS Components","http://rswww.com/cc"
"R 0.1W SMTF 4.7K","4.7K","Thick Film Surface Mount Resistor","1","","","RS Components","http://rswww.com/cc"
"R 0.1W SMTF NOT FITTED","0","Thick Film Surface Mount Resistor","9","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 1.0K","1.0K","Thick Film Surface Mount Resistor","25","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 2.2K","2.2K","Thick Film Surface Mount Resistor","2","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 4.7K","4.7K","Thick Film Surface Mount Resistor","3","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 6.8K","6.8K","Thick Film Surface Mount Resistor","1","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 8.2K","8.2K","Thick Film Surface Mount Resistor","1","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 10K","10K","Thick Film Surface Mount Resistor","9","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 20K","20K","Thick Film Surface Mount Resistor","4","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 100K","100K","Thick Film Surface Mount Resistor","2","","","RS Components","http://rswww.com/cc"
"R 0.063W SMTF 200K","200K","Thick Film Surface Mount Resistor","2","","","RS Components","http://rswww.com/cc"
"SP0503BAHTG","","","1","","","RS Components","http://rswww.com/cc"
"TEST-POINT2","","","2","","","RS Components","http://rswww.com/cc"
"TEST-POINT3X5","","","1","","","RS Components","http://rswww.com/cc"
